account_id,frequency,loan_amount,loan_date,loan_duration,loan_pmt,status,card_type,disp_type,num_tsns,last_tsn_date,num_cc_withdraw,num_credit_in_cash,num_collect_from_diff_bank,num_cash_withdraw,num_remit_to_diff_bank,avg_cc_withdraw,avg_credit_in_cash,avg_collect_from_diff_bank,avg_cash_withdraw,avg_remit_to_diff_bank
2,POPLATEK MESICNE,80952,1994-01-05,24,3373.0,A,None,OWNER,956,1998-12-31,0.0,24.0,140.0,474.0,178.0,0.0,101.2552,3217.4393,2094.5962,1157.41
19,POPLATEK MESICNE,30276,1996-04-29,12,2523.0,B,None,OWNER,303,1998-12-31,0.0,17.0,45.0,143.0,8.0,0.0,151.1551,2448.2079,2515.3531,66.6139
25,POPLATEK MESICNE,30276,1997-12-08,12,2523.0,A,None,OWNER,274,1998-12-31,0.0,54.0,0.0,99.0,93.0,0.0,5431.2847,0.0,4435.9416,907.7847
37,POPLATEK MESICNE,318480,1998-10-14,60,5308.0,D,None,OWNER,130,1998-12-31,0.0,19.0,0.0,51.0,43.0,0.0,3803.8,0.0,2891.1538,579.0769
38,POPLATEK TYDNE,110736,1998-04-19,48,2307.0,C,None,OWNER,130,1998-12-31,0.0,14.0,17.0,37.0,45.0,0.0,382.3077,1969.6923,1205.2231,823.1308
67,POPLATEK MESICNE,165960,1996-05-02,24,6915.0,A,None,OWNER,382,1998-12-31,0.0,2.0,50.0,164.0,116.0,0.0,17.801,5919.3848,4604.0236,1257.8743
97,POPLATEK MESICNE,102876,1997-08-10,12,8573.0,A,classic,OWNER,548,1998-12-31,10.0,70.0,0.0,162.0,242.0,48.1752,2319.2701,0.0,1333.9599,765.1168
103,POPLATEK MESICNE,265320,1997-12-06,36,7370.0,D,None,OWNER,185,1998-12-31,0.0,38.0,0.0,90.0,11.0,0.0,4691.0595,0.0,4093.5135,438.2162
105,POPLATEK MESICNE,352704,1998-12-05,48,7348.0,C,classic,OWNER,59,1998-12-31,0.0,14.0,0.0,28.0,1.0,0.0,4285.3051,0.0,3913.9661,124.5424
110,POPLATEK MESICNE,162576,1997-09-08,36,4516.0,C,classic,OWNER,209,1998-12-31,5.0,32.0,0.0,79.0,64.0,70.8134,3568.8852,0.0,2464.8804,707.2153
132,POPLATEK PO OBRATU,88440,1996-11-06,12,7370.0,A,classic,OWNER,396,1998-12-31,4.0,94.0,0.0,210.0,24.0,37.8788,6458.4394,0.0,5832.1061,446.6667
173,POPLATEK MESICNE,104808,1994-05-31,12,8734.0,A,None,OWNER,1144,1998-12-31,0.0,190.0,0.0,352.0,480.0,0.0,2297.4126,0.0,1159.5804,1041.021
176,POPLATEK TYDNE,27456,1997-04-10,12,2288.0,A,None,OWNER,274,1998-12-31,0.0,53.0,0.0,102.0,90.0,0.0,5385.0949,0.0,4598.0547,545.9051
226,POPLATEK MESICNE,109344,1998-07-12,12,9112.0,C,classic,OWNER,129,1998-12-31,6.0,33.0,0.0,44.0,24.0,112.4031,3757.4729,0.0,1662.4419,1669.5814
276,POPLATEK MESICNE,160920,1998-12-02,36,4470.0,C,classic,OWNER,65,1998-12-31,1.0,1.0,13.0,28.0,9.0,55.3846,10.7692,5983.5692,4361.7385,710.2615
290,POPLATEK MESICNE,123696,1994-11-03,48,2577.0,A,None,OWNER,491,1998-12-31,0.0,100.0,0.0,171.0,160.0,0.0,4261.6151,0.0,3283.0631,927.9185
303,POPLATEK MESICNE,112752,1998-05-30,36,3132.0,C,classic,OWNER,176,1998-12-31,2.0,33.0,0.0,80.0,32.0,33.5227,2865.6818,0.0,1956.5909,664.767
309,POPLATEK MESICNE,91248,1998-11-25,48,1901.0,C,None,OWNER,108,1998-12-31,0.0,22.0,0.0,65.0,1.0,0.0,3944.6296,0.0,3724.1204,17.6019
314,POPLATEK PO OBRATU,66840,1997-05-03,24,2785.0,C,None,OWNER,446,1998-12-31,0.0,8.0,70.0,196.0,102.0,0.0,37.2197,6287.3946,4079.0942,2153.009
319,POPLATEK TYDNE,369000,1997-07-11,60,6150.0,C,None,OWNER,376,1998-12-31,0.0,74.0,0.0,138.0,126.0,0.0,4557.5319,0.0,3726.367,645.7021
330,POPLATEK MESICNE,331584,1998-07-12,48,6908.0,C,None,OWNER,260,1998-12-31,0.0,52.0,0.0,146.0,12.0,0.0,4740.0769,0.0,4246.4615,318.8308
339,POPLATEK TYDNE,468060,1997-12-25,60,7801.0,C,classic,OWNER,432,1998-12-31,4.0,4.0,56.0,196.0,116.0,27.7778,18.5185,6609.3102,5311.5324,873.6898
344,POPLATEK MESICNE,100980,1994-12-21,60,1683.0,C,None,OWNER,399,1998-12-31,0.0,67.0,0.0,166.0,105.0,0.0,2354.2406,0.0,1357.2431,879.4662
347,POPLATEK MESICNE,187224,1995-05-01,24,7801.0,B,None,OWNER,379,1998-12-31,0.0,89.0,0.0,207.0,22.0,0.0,5251.3615,0.0,4679.0686,452.8285
349,POPLATEK MESICNE,42816,1998-09-09,12,3568.0,C,None,OWNER,214,1998-12-31,0.0,64.0,0.0,76.0,36.0,0.0,1660.8318,0.0,775.2336,743.1028
378,POPLATEK MESICNE,230400,1997-10-11,60,3840.0,C,None,OWNER,344,1998-12-31,0.0,73.0,0.0,114.0,127.0,0.0,5741.1163,0.0,4691.9186,959.1744
426,POPLATEK MESICNE,252060,1994-07-19,60,4201.0,D,None,OWNER,444,1998-12-31,0.0,89.0,0.0,129.0,165.0,0.0,3515.4887,0.0,1922.8581,1543.8536
440,POPLATEK MESICNE,84288,1998-03-13,48,1756.0,C,None,OWNER,147,1998-12-31,0.0,28.0,0.0,67.0,28.0,0.0,2962.1769,0.0,1716.9048,860.4014
442,POPLATEK MESICNE,357840,1997-07-10,48,7455.0,D,None,OWNER,80,1998-12-31,0.0,18.0,0.0,24.0,21.0,0.0,5343.0375,0.0,3365.075,1323.7875
472,POPLATEK MESICNE,196800,1997-04-28,24,8200.0,D,None,OWNER,159,1998-12-31,0.0,2.0,26.0,86.0,19.0,0.0,15.0943,8819.0629,7700.195,979.8742
501,POPLATEK MESICNE,262980,1996-10-24,60,4383.0,C,None,OWNER,233,1998-12-31,0.0,57.0,0.0,112.0,26.0,0.0,5718.1888,0.0,4916.9528,489.0901
525,POPLATEK MESICNE,210384,1997-07-16,48,4383.0,C,None,OWNER,188,1998-12-31,0.0,45.0,0.0,71.0,40.0,0.0,5046.8138,0.0,3366.8138,1185.9202
544,POPLATEK MESICNE,91152,1996-08-22,24,3798.0,A,classic,OWNER,254,1998-12-31,4.0,13.0,43.0,127.0,24.0,32.6772,279.5276,4216.878,3704.0433,358.8661
666,POPLATEK MESICNE,12540,1997-11-28,12,1045.0,A,classic,OWNER,552,1998-12-31,38.0,90.0,0.0,166.0,192.0,140.5797,2066.2609,0.0,883.0435,773.1304
675,POPLATEK MESICNE,102240,1997-04-01,60,1704.0,C,classic,OWNER,526,1998-12-31,8.0,130.0,0.0,192.0,114.0,35.7414,1980.0038,0.0,708.8973,1006.3574
718,POPLATEK MESICNE,76944,1997-08-20,12,6412.0,A,classic,OWNER,281,1998-12-31,3.0,59.0,0.0,96.0,92.0,33.8078,5008.0249,0.0,3256.395,1583.0071
